Feature_ID	Taxonomy
AB108609.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Gobiiformes;f__Gobiidae;g__Pandaka;s__trimaculata
AB108623.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Gobiiformes;f__Gobiidae;g__Pandaka;s__trimaculata
AB108625.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Gobiiformes;f__Gobiidae;g__Pandaka;s__trimaculata
AB119064.1	d__Metazoa;p__Chordata;c__Mammalia;o__Carnivora;f__Mustelidae;g__Mustela;s__altaica
AB119073.1	d__Metazoa;p__Chordata;c__Mammalia;o__Carnivora;f__Mustelidae;g__Mustela;s__strigidorsa
AB119075.1	d__Metazoa;p__Chordata;c__Mammalia;o__Carnivora;f__Mustelidae;g__Martes;s__melampus
AB119076.1	d__Metazoa;p__Chordata;c__Mammalia;o__Carnivora;f__Mustelidae;g__Martes;s__zibellina
AB119077.1	d__Metazoa;p__Chordata;c__Mammalia;o__Carnivora;f__Mustelidae;g__Meles;s__meles
AB121982.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Gobiiformes;f__Gobiidae;g__Luciogobius;s__elongatus
AB125234.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Pleuronectiformes;f__Soleidae;g__Pegusa;s__lascaris
AB125783.1	d__Metazoa;p__Chordata;c__Mammalia;o__Rodentia;f__Muridae;g__Mus;s__booduga
AB125784.1	d__Metazoa;p__Chordata;c__Mammalia;o__Rodentia;f__Muridae;g__Mus;s__booduga
AB125786.1	d__Metazoa;p__Chordata;c__Mammalia;o__Rodentia;f__Muridae;g__Mus;s__cervicolor
AB125793.1	d__Metazoa;p__Chordata;c__Mammalia;o__Rodentia;f__Muridae;g__Mus;s__pahari
AB125794.1	d__Metazoa;p__Chordata;c__Mammalia;o__Rodentia;f__Muridae;g__Mus;s__mattheyi
AB127977.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Rhacophoridae;g__Buergeria;s__buergeri
AB181643.1	d__Metazoa;p__Chordata;c__Mammalia;o__Eulipotyphla;f__Talpidae;g__Mogera;s__insularis
AB181655.1	d__Metazoa;p__Chordata;c__Mammalia;o__Eulipotyphla;f__Talpidae;g__Mogera;s__kanoana
AB181656.1	d__Metazoa;p__Chordata;c__Mammalia;o__Eulipotyphla;f__Talpidae;g__Mogera;s__kanoana
AB185154.1	d__Metazoa;p__Chordata;c__Mammalia;o__Eulipotyphla;f__Talpidae;g__Euroscaptor;s__malayana
AB185327.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Varanidae;g__Varanus;s__niloticus
AB188178.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Cottidae;g__Cottus;s__pollux
AB188180.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Cottidae;g__Cottus;s__nozawae
AB188186.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Cottidae;g__Alpinocottus;s__poecilopus
AB188187.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Cottidae;g__Alpinocottus;s__poecilopus
AB188192.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Cottidae;g__Leocottus;s__kesslerii
AB200923.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Ranidae;g__Odorrana;s__amamiensis
AB200924.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Ranidae;g__Odorrana;s__narina
AB200926.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Ranidae;g__Odorrana;s__supranarina
AB200928.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Ranidae;g__Odorrana;s__utsunomiyaorum
